Season,Date,Left,Joined,MV,Fee,player
18/19,"Jan 1, 2019",Sevilla Atl.,Sevilla FC,€300Th.,-,Bryan Gil
18/19,"Jul 1, 2018",Sevilla FC U19,Sevilla Atl.,-,-,Bryan Gil
17/18,"Jul 1, 2017",Sevilla FC Yth.,Sevilla FC U19,-,-,Bryan Gil
16/17,"Jul 1, 2016",CD Altair,Sevilla FC Yth.,-,-,Bryan Gil
15/16,"Jul 1, 2015",Sevilla FC Yth.,CD Altair,-,-,Bryan Gil
12/13,"Jul 1, 2012",Barbate CF,Sevilla FC Yth.,-,?,Bryan Gil
20/21,"Oct 2, 2020",Benfica,Spurs,€20.00m,Loan fee:€3.00m,Carlos Vinícius
19/20,"Jul 20, 2019",SSC Napoli,Benfica,€7.00m,€17.00m,Carlos Vinícius
18/19,"Jun 30, 2019",Monaco,SSC Napoli,€7.00m,End of loan,Carlos Vinícius
18/19,"Jan 30, 2019",SSC Napoli,Monaco,€5.00m,loan transfer,Carlos Vinícius
18/19,"Jan 29, 2019",Rio Ave FC,SSC Napoli,€5.00m,End of loan,Carlos Vinícius
18/19,"Aug 24, 2018",SSC Napoli,Rio Ave FC,€700Th.,loan transfer,Carlos Vinícius
18/19,"Jul 16, 2018",Real SC,SSC Napoli,€700Th.,€4.00m,Carlos Vinícius
17/18,"Jul 1, 2017",Anápolis-GO,Real SC,-,free transfer,Carlos Vinícius
16/17,"Jan 1, 2017",AA Caldense,Anápolis-GO,-,?,Carlos Vinícius
15/16,"Jan 1, 2016",Palmeiras U20,AA Caldense,-,?,Carlos Vinícius
14/15,"Jul 1, 2014",Santos FC U20,Palmeiras U20,-,?,Carlos Vinícius
19/20,"Jan 27, 2020",Atalanta BC,AS Roma,€2.00m,loan transfer,Roger Ibañez
18/19,"Jan 29, 2019",Fluminense,Atalanta BC,€700Th.,€3.95m,Roger Ibañez
17/18,"Feb 28, 2018",PRS FC,Fluminense,€50Th.,€150Th.,Roger Ibañez
17/18,"Feb 27, 2018",Fluminense,PRS FC,€50Th.,End of loan,Roger Ibañez
16/17,"Jun 20, 2017",PRS FC,Fluminense,-,loan transfer,Roger Ibañez
16/17,"Apr 30, 2017",CS Sergipe-SE,PRS FC,-,End of loan,Roger Ibañez
16/17,"Jan 18, 2017",PRS FC,CS Sergipe-SE,-,loan transfer,Roger Ibañez
20/21,"Oct 5, 2020",RSC Anderlecht,Stade Rennais,€9.00m,€26.00m,Jérémy Doku
19/20,"Jul 1, 2019",Anderlecht U21,RSC Anderlecht,€2.00m,-,Jérémy Doku
18/19,"Jul 1, 2018",Anderlecht U17,Anderlecht U21,-,-,Jérémy Doku
17/18,"Jul 1, 2017",Anderlecht Yth.,Anderlecht U17,-,-,Jérémy Doku
12/13,"Jul 1, 2012",Beerschot Yth,Anderlecht Yth.,-,?,Jérémy Doku
20/21,"Aug 28, 2020",QPR,Crystal Palace,€9.00m,€17.80m,Eberechi Eze
17/18,"Jan 2, 2018",Wycombe,QPR,-,End of loan,Eberechi Eze
17/18,"Aug 30, 2017",QPR,Wycombe,-,loan transfer,Eberechi Eze
17/18,"Jul 1, 2017",QPR U23,QPR,-,-,Eberechi Eze
16/17,"Aug 3, 2016",Millwall U18,QPR U23,-,free transfer,Eberechi Eze
14/15,"Jul 1, 2014",Reading Yth.,Millwall U18,-,free transfer,Eberechi Eze
13/14,"Jan 1, 2014",Fulham Youth,Reading Yth.,-,free transfer,Eberechi Eze
11/12,"Jul 1, 2011",Arsenal FC Yout,Fulham Youth,-,free transfer,Eberechi Eze
18/19,"Jul 1, 2018",Norwich U23,Norwich,-,-,Max Aarons
17/18,"Jul 1, 2017",Norwich U18,Norwich U23,-,-,Max Aarons
19/20,"Sep 2, 2019",San Lorenzo,Feyenoord,€7.00m,€7.00m,Marcos Senesi
16/17,"Jul 1, 2016",San Lorenzo II,San Lorenzo,-,-,Marcos Senesi
19/20,"Jul 1, 2019",Man City U23,Man City,-,-,Eric García
18/19,"Jul 1, 2018",Man City U18,Man City U23,-,-,Eric García
17/18,"Jul 1, 2017",Barça U16,Man City U18,-,€1.70m,Eric García
16/17,"Jul 1, 2016",Barcelona Yth.,Barça U16,-,-,Eric García
20/21,"Oct 5, 2020",Arsenal,Hertha BSC,€32.00m,Loan fee:€1.00m,Mattéo Guendouzi
18/19,"Jul 11, 2018",FC Lorient,Arsenal,€2.50m,€8.00m,Mattéo Guendouzi
16/17,"Sep 23, 2016",Lorient B,FC Lorient,-,-,Mattéo Guendouzi
15/16,"Jan 1, 2016",FC Lorient U19,Lorient B,-,-,Mattéo Guendouzi
14/15,"Jul 1, 2014",Paris SG U17,FC Lorient U19,-,free transfer,Mattéo Guendouzi
13/14,"Jul 1, 2013",PSG Youth,Paris SG U17,-,-,Mattéo Guendouzi
16/17,"Jun 30, 2017",Salernitana,Lazio,€200Th.,End of loan,Luiz Felipe
16/17,"Aug 31, 2016",Lazio,Salernitana,€50Th.,loan transfer,Luiz Felipe
16/17,"Aug 30, 2016",Ituano,Lazio,€50Th.,€750Th.,Luiz Felipe
15/16,"Jan 1, 2016",Ituano FC U20,Ituano,-,-,Luiz Felipe
20/21,"Sep 3, 2020",Nottm Forest,Aston Villa,€4.80m,€15.75m,Matty Cash
16/17,"Jul 1, 2016",Nottingham U18,Nottm Forest,-,-,Matty Cash
15/16,"May 31, 2016",Dag & Red FC,Nottingham U18,-,End of loan,Matty Cash
15/16,"Mar 4, 2016",Nottingham U18,Dag & Red FC,-,loan transfer,Matty Cash
19/20,"Aug 8, 2019",Stade Rennais,Watford,€30.00m,€30.00m,Ismaïla Sarr
17/18,"Jul 26, 2017",FC Metz,Stade Rennais,€2.50m,€17.00m,Ismaïla Sarr
16/17,"Jul 13, 2016",Génération Foot,FC Metz,-,free transfer,Ismaïla Sarr
18/19,"Nov 1, 2018",Villarreal CF B,Villarreal,€500Th.,-,Samuel Chukwueze
18/19,"Jul 1, 2018",Villarreal U19,Villarreal CF B,€500Th.,-,Samuel Chukwueze
17/18,"Aug 10, 2017",Diamond Academy,Villarreal U19,-,€500Th.,Samuel Chukwueze
20/21,"Oct 5, 2020",Spurs,TSG Hoffenheim,€25.00m,loan transfer,Ryan Sessegnon
19/20,"Aug 8, 2019",Fulham,Spurs,€35.00m,€27.00m,Ryan Sessegnon
16/17,"Jul 1, 2016",Fulham U18,Fulham,-,-,Ryan Sessegnon
15/16,"Jul 1, 2015",Fulham Youth,Fulham U18,-,-,Ryan Sessegnon
19/20,"Aug 6, 2019",Trabzonspor,LOSC Lille,€13.00m,€17.50m,Yusuf Yazici
15/16,"Dec 21, 2015",Trabzonspor U21,Trabzonspor,€50Th.,-,Yusuf Yazici
15/16,"Jul 1, 2015",Trabzonspor U19,Trabzonspor U21,-,-,Yusuf Yazici
14/15,"Jul 1, 2014",Trabzonspor U17,Trabzonspor U19,-,-,Yusuf Yazici
13/14,"Jul 1, 2013",Trabzonspor U16,Trabzonspor U17,-,-,Yusuf Yazici
12/13,"Jul 1, 2012",Trabzonspor Yth,Trabzonspor U16,-,-,Yusuf Yazici
18/19,"Feb 28, 2019",Grêmio,Shakhtar D.,-,€15.00m,Tetê
17/18,"Jan 1, 2018",Grêmio U20,Grêmio,-,-,Tetê
17/18,"Jul 1, 2017",Kafue Celtic FC,RB Salzburg,€250Th.,?,Patson Daka
16/17,"Jun 30, 2017",FC Liefering,Kafue Celtic FC,€250Th.,End of loan,Patson Daka
16/17,"Jan 1, 2017",Kafue Celtic FC,FC Liefering,-,loan transfer,Patson Daka
16/17,"Dec 31, 2016",Power Dynamos FC,Kafue Celtic FC,-,End of loan,Patson Daka
15/16,"Jan 2, 2016",Kafue Celtic FC,Power Dynamos FC,-,loan transfer,Patson Daka
15/16,"Jan 1, 2016",Green Buffaloes,Kafue Celtic FC,-,?,Patson Daka
14/15,"Oct 1, 2014",Nchanga Rangers FC,Green Buffaloes,-,?,Patson Daka
17/18,"Jul 1, 2017",Real Sociedad B,Real Sociedad,€350Th.,-,Igor Zubeldia
15/16,"Jul 1, 2015",R. Sociedad U19,Real Sociedad B,-,-,Igor Zubeldia
14/15,"Jul 1, 2014",Real Sociedad Y,R. Sociedad U19,-,-,Igor Zubeldia
19/20,"Jul 1, 2019",Real Sociedad B,Real Sociedad,€4.00m,-,Robin Le Normand
16/17,"Jul 4, 2016",Brest B,Real Sociedad B,-,free transfer,Robin Le Normand
13/14,"Jul 1, 2013",Stade Brest 29 U19,Brest B,-,-,Robin Le Normand
20/21,"Sep 20, 2020",AS Roma,Leicester,€23.00m,Loan fee:€3.00m,Cengiz Ünder
17/18,"Jul 16, 2017",Basaksehir,AS Roma,€5.00m,€14.25m,Cengiz Ünder
16/17,"Jul 1, 2016",Altinordu,Basaksehir,€1.50m,€4.80m,Cengiz Ünder
14/15,"Dec 21, 2014",Altinordu U21,Altinordu,€50Th.,-,Cengiz Ünder
14/15,"Jul 1, 2014",Altinordu U19,Altinordu U21,-,-,Cengiz Ünder
13/14,"Jul 1, 2013",Altinordu U16,Altinordu U19,-,-,Cengiz Ünder
12/13,"Jan 4, 2013",Bucaspor Yth,Altinordu U16,-,free transfer,Cengiz Ünder
20/21,"Oct 5, 2020",Ajax,Club Brugge,€3.50m,loan transfer,Noa Lang
19/20,"May 4, 2020",Twente FC,Ajax,€2.70m,End of loan,Noa Lang
19/20,"Jan 18, 2020",Ajax,Twente FC,€3.00m,loan transfer,Noa Lang
19/20,"Sep 12, 2019",Ajax U21,Ajax,€1.00m,-,Noa Lang
17/18,"Jul 1, 2017",Ajax U19,Ajax U21,€100Th.,-,Noa Lang
16/17,"Jul 1, 2016",Ajax U17,Ajax U19,-,-,Noa Lang
15/16,"Jul 1, 2015",Ajax Youth ,Ajax U17,-,-,Noa Lang
13/14,"Jul 1, 2013",Feyenoord Youth,Ajax Youth ,-,?,Noa Lang
17/18,"Jul 1, 2017",Bilbao Athletic,Athletic,€300Th.,-,Unai Núñez
16/17,"Jul 1, 2016",CD Basconia,Bilbao Athletic,-,-,Unai Núñez
15/16,"Jul 1, 2015",Bilbao U19,CD Basconia,-,-,Unai Núñez
13/14,"Jul 1, 2013",Bilbao Youth,Bilbao U19,-,-,Unai Núñez
18/19,"Jan 1, 2019",Red Bulls,RB Leipzig,€4.50m,€2.63m,Tyler Adams
16/17,"Nov 30, 2016",NY Red Bulls II,Red Bulls,€50Th.,End of loan,Tyler Adams
15/16,"Mar 26, 2016",Red Bulls,NY Red Bulls II,€50Th.,loan transfer,Tyler Adams
15/16,"Nov 3, 2015",NY Red Bulls II,Red Bulls,-,-,Tyler Adams
14/15,"Mar 19, 2015",NY RB Academy,NY Red Bulls II,-,-,Tyler Adams
19/20,"Aug 31, 2020",Hellas Verona,Atalanta BC,€12.00m,End of loan,Matteo Pessina
19/20,"Aug 26, 2019",Atalanta BC,Hellas Verona,€1.50m,loan transfer,Matteo Pessina
17/18,"Jun 30, 2018",Spezia Calcio,Atalanta BC,€2.00m,End of loan,Matteo Pessina
17/18,"Aug 25, 2017",Atalanta BC,Spezia Calcio,€600Th.,loan transfer,Matteo Pessina
17/18,"Jul 7, 2017",AC Milan,Atalanta BC,€600Th.,€1.65m,Matteo Pessina
16/17,"Jun 30, 2017",Como,AC Milan,€600Th.,End of loan,Matteo Pessina
16/17,"Jul 15, 2016",AC Milan,Como,€175Th.,loan transfer,Matteo Pessina
15/16,"Jun 30, 2016",Catania,AC Milan,€175Th.,End of loan,Matteo Pessina
15/16,"Jan 19, 2016",AC Milan,Catania,€225Th.,loan transfer,Matteo Pessina
15/16,"Jan 18, 2016",Lecce,AC Milan,€250Th.,End of loan,Matteo Pessina
15/16,"Aug 10, 2015",AC Milan,Lecce,€250Th.,loan transfer,Matteo Pessina
15/16,"Jul 1, 2015",Monza,AC Milan,€250Th.,€20Th.,Matteo Pessina
14/15,"Jan 2, 2015",Monza Giovanili,Monza,€75Th.,-,Matteo Pessina
20/21,"Aug 14, 2020",Grêmio,Benfica,€28.00m,€20.00m,Éverton
13/14,"Jan 1, 2014",Grêmio U20,Grêmio,-,-,Éverton
13/14,"Dec 31, 2013",Grêmio U20,Fortaleza U20,-,End of loan,Éverton
12/13,"Mar 1, 2013",Fortaleza U20,Grêmio U20,-,loan transfer,Éverton
12/13,"Jan 1, 2013",Fortaleza U20,Grêmio U20,-,€111Th.,Éverton
11/12,"Oct 1, 2011",São Bern. U20,Fortaleza U20,-,?,Éverton
17/18,"Jan 1, 2018",Peñarol,Los Angeles FC,€750Th.,€2.50m,Diego Rossi
15/16,"Jan 1, 2016",Peñarol U19,Peñarol,-,-,Diego Rossi
20/21,"Jan 22, 2021",Chelsea,AC Milan,€17.00m,Loan fee:€2.00m,Fikayo Tomori
18/19,"May 31, 2019",Derby,Chelsea,€7.00m,End of loan,Fikayo Tomori
18/19,"Aug 6, 2018",Chelsea,Derby,€1.00m,loan transfer,Fikayo Tomori
17/18,"May 31, 2018",Hull City,Chelsea,€1.00m,End of loan,Fikayo Tomori
17/18,"Aug 31, 2017",Chelsea,Hull City,€250Th.,loan transfer,Fikayo Tomori
17/18,"Jul 1, 2017",Chelsea U23,Chelsea,€250Th.,-,Fikayo Tomori
16/17,"May 31, 2017",Brighton,Chelsea U23,€250Th.,End of loan,Fikayo Tomori
16/17,"Jan 23, 2017",Chelsea U23,Brighton,-,loan transfer,Fikayo Tomori
15/16,"Jul 1, 2015",Chelsea U18,Chelsea U21,-,-,Fikayo Tomori
14/15,"Jul 1, 2014",Chelsea Youth,Chelsea U18,-,-,Fikayo Tomori
18/19,"Jul 1, 2018",Boston River,Getafe,€3.00m,€2.15m,Mauro Arambarri
17/18,"Jun 30, 2018",Getafe,Boston River,€3.00m,End of loan,Mauro Arambarri
17/18,"Aug 9, 2017",Boston River,Getafe,€1.25m,loan transfer,Mauro Arambarri
17/18,"Aug 8, 2017",G. Bordeaux,Boston River,€1.25m,€1.00m,Mauro Arambarri
15/16,"Jan 31, 2016",Defensor,G. Bordeaux,€1.25m,€3.00m,Mauro Arambarri
13/14,"Jul 1, 2013",Defensor U19,Defensor,-,-,Mauro Arambarri
18/19,"Aug 9, 2018",FC Barcelona,Everton,€20.00m,€30.25m,Yerry Mina
17/18,"Jan 11, 2018",Palmeiras,FC Barcelona,€9.00m,€11.80m,Yerry Mina
15/16,"May 1, 2016",Indep. Santa Fe,Palmeiras,€650Th.,€3.20m,Yerry Mina
13/14,"Jan 1, 2014",Deportivo Pasto,Indep. Santa Fe,-,?,Yerry Mina
12/13,"Jan 1, 2013",Pasto U20,Deportivo Pasto,-,-,Yerry Mina
20/21,"Jul 1, 2020",FC Barcelona,Getafe,€18.00m,€10.00m,Marc Cucurella
19/20,"Jun 30, 2020",Getafe,FC Barcelona,€18.00m,End of loan,Marc Cucurella
19/20,"Jul 18, 2019",FC Barcelona,Getafe,€10.00m,loan transfer,Marc Cucurella
19/20,"Jul 16, 2019",SD Eibar,FC Barcelona,€10.00m,€4.00m,Marc Cucurella
19/20,"Jul 1, 2019",FC Barcelona,SD Eibar,€10.00m,€2.00m,Marc Cucurella
18/19,"Jun 30, 2019",SD Eibar,FC Barcelona,€10.00m,End of loan,Marc Cucurella
18/19,"Aug 31, 2018",FC Barcelona,SD Eibar,€5.00m,loan transfer,Marc Cucurella
18/19,"Jul 1, 2018",FC Barcelona B,FC Barcelona,€5.00m,-,Marc Cucurella
17/18,"Jul 1, 2017",Barça U19,FC Barcelona B,€700Th.,-,Marc Cucurella
15/16,"Jul 1, 2015",Barça U18,Barça U19,-,-,Marc Cucurella
14/15,"Jul 1, 2014",Barça U16,Barça U18,-,-,Marc Cucurella
12/13,"Jul 1, 2012",Espanyol Youth,Barça U16,-,free transfer,Marc Cucurella
20/21,"Aug 4, 2020",Feyenoord,Celta de Vigo,€2.40m,free transfer,Renato Tapia
18/19,"Jun 30, 2019",Willem II,Feyenoord,€3.00m,End of loan,Renato Tapia
18/19,"Jan 14, 2019",Feyenoord,Willem II,€3.00m,loan transfer,Renato Tapia
15/16,"Jan 27, 2016",Twente FC,Feyenoord,€2.00m,€1.50m,Renato Tapia
14/15,"Jul 1, 2014",FC Twente U21,Twente FC,€300Th.,-,Renato Tapia
13/14,"Jul 30, 2013",EGB,FC Twente U21,-,?,Renato Tapia
07/08,"Jul 1, 2007",Sp. Cristal U19,EGB,-,?,Renato Tapia
20/21,"Aug 1, 2020",Man Utd U23,Man Utd,€20.00m,-,Dean Henderson
20/21,"Jul 31, 2020",Sheff Utd,Man Utd U23,€20.00m,End of loan,Dean Henderson
19/20,"Jul 26, 2019",Man Utd U23,Sheff Utd,€2.50m,loan transfer,Dean Henderson
18/19,"May 31, 2019",Sheff Utd,Man Utd U23,€2.50m,End of loan,Dean Henderson
18/19,"Jul 1, 2018",Man Utd U23,Sheff Utd,€250Th.,loan transfer,Dean Henderson
17/18,"May 31, 2018",Shrewsbury,Man Utd U23,€250Th.,End of loan,Dean Henderson
17/18,"Jul 10, 2017",Man Utd U23,Shrewsbury,€100Th.,loan transfer,Dean Henderson
16/17,"Feb 3, 2017",Grimsby Town,Man Utd U23,-,End of loan,Dean Henderson
16/17,"Aug 31, 2016",Man Utd U23,Grimsby Town,-,loan transfer,Dean Henderson
15/16,"Feb 20, 2016",Stockport,Man Utd U23,-,End of loan,Dean Henderson
15/16,"Jan 12, 2016",Man Utd U23,Stockport,-,loan transfer,Dean Henderson
15/16,"Jul 1, 2015",Man Utd U18,Man Utd U23,-,-,Dean Henderson
13/14,"Jul 1, 2013",Man Utd Youth,Man Utd U18,-,-,Dean Henderson
20/21,"Jan 14, 2021",Real Madrid,E. Frankfurt,€20.00m,Loan fee:€1.00m,Luka Jovic
19/20,"Jul 2, 2019",E. Frankfurt,Real Madrid,€60.00m,€63.00m,Luka Jovic
19/20,"Jul 1, 2019",Benfica,E. Frankfurt,€60.00m,€22.34m,Luka Jovic
18/19,"Jun 30, 2019",E. Frankfurt,Benfica,€60.00m,End of loan,Luka Jovic
17/18,"Jul 1, 2017",Benfica,E. Frankfurt,€2.00m,Loan fee:€200Th.,Luka Jovic
15/16,"Jan 31, 2016",Apol. Limassol,Benfica,€1.75m,€6.60m,Luka Jovic
15/16,"Jan 25, 2016",Red Star,Apol. Limassol,€1.75m,€2.00m,Luka Jovic
14/15,"Jul 1, 2014",Red Star U19,Red Star,-,-,Luka Jovic
13/14,"Jul 1, 2013",Red Star U17,Red Star U19,-,-,Luka Jovic
12/13,"Jul 1, 2012",Red Star U15,Red Star U17,-,-,Luka Jovic
19/20,"Jul 1, 2019",Atlético Madrid,Monaco,€28.00m,€30.00m,Gelson Martins
18/19,"Jun 30, 2019",Monaco,Atlético Madrid,€28.00m,End of loan,Gelson Martins
18/19,"Jan 27, 2019",Atlético Madrid,Monaco,€20.00m,loan transfer,Gelson Martins
18/19,"Jul 25, 2018",Sporting CP,Atlético Madrid,€35.00m,€22.00m,Gelson Martins
15/16,"Jul 1, 2015",Sporting B,Sporting CP,-,-,Gelson Martins
14/15,"Jul 1, 2014",Sporting U19,Sporting B,-,-,Gelson Martins
12/13,"Jul 1, 2012",Sporting U17,Sporting U19,-,-,Gelson Martins
16/17,"Jul 1, 2016",Bilbao Athletic,Athletic,€700Th.,-,Yeray Álvarez
14/15,"Jul 1, 2014",CD Basconia,Bilbao Athletic,-,-,Yeray Álvarez
13/14,"Jul 1, 2013",Bilbao U19,CD Basconia,-,-,Yeray Álvarez
11/12,"Jul 1, 2011",Bilbao Youth,Bilbao U19,-,-,Yeray Álvarez
18/19,"Jul 7, 2018",Istanbulspor,LOSC Lille,€800Th.,€2.50m,Zeki Celik
16/17,"Aug 25, 2016",Bursaspor,Istanbulspor,€100Th.,€1.25m,Zeki Celik
15/16,"Jun 30, 2016",Bursa Nilüfer,Bursaspor,€100Th.,End of loan,Zeki Celik
15/16,"Aug 14, 2015",Bursaspor,Bursa Nilüfer,€100Th.,loan transfer,Zeki Celik
15/16,"Jul 1, 2015",Bursaspor U21,Bursaspor,€100Th.,-,Zeki Celik
14/15,"Dec 21, 2014",Bursaspor U19,Bursaspor U21,€100Th.,-,Zeki Celik
14/15,"Jul 1, 2014",Bursaspor U17,Bursaspor U19,-,-,Zeki Celik
13/14,"Jul 1, 2013",Bursaspor U16,Bursaspor U17,-,-,Zeki Celik
12/13,"Jul 1, 2012",Bursaspor Yth,Bursaspor U16,-,-,Zeki Celik
20/21,"Sep 24, 2020",Real Sociedad,Leeds,€20.00m,€20.00m,Diego Llorente
17/18,"Jul 1, 2017",Real Madrid,Real Sociedad,€7.50m,€11.00m,Diego Llorente
16/17,"Jun 30, 2017",Málaga CF,Real Madrid,€7.50m,End of loan,Diego Llorente
16/17,"Jul 6, 2016",Real Madrid,Málaga CF,€3.00m,loan transfer,Diego Llorente
15/16,"Jun 30, 2016",Rayo Vallecano,Real Madrid,€3.00m,End of loan,Diego Llorente
15/16,"Jul 13, 2015",RM Castilla,Rayo Vallecano,-,loan transfer,Diego Llorente
15/16,"Jul 1, 2015",RM Castilla,Real Madrid,-,-,Diego Llorente
13/14,"Jul 1, 2013",Real Madrid C,RM Castilla,€500Th.,-,Diego Llorente
12/13,"Jul 1, 2012",Real Madrid U19,Real Madrid C,-,-,Diego Llorente
11/12,"Jul 1, 2011",Real Madrid U18,Real Madrid U19,-,-,Diego Llorente
19/20,"Jan 28, 2020",Inter,Flamengo,€23.00m,€17.45m,Gabriel Barbosa
19/20,"Dec 31, 2019",Flamengo,Inter,€23.00m,End of loan,Gabriel Barbosa
18/19,"Jan 11, 2019",Inter,Flamengo,€8.00m,Loan fee:€700Th.,Gabriel Barbosa
18/19,"Dec 31, 2018",Santos FC,Inter,€8.00m,End of loan,Gabriel Barbosa
17/18,"Jan 25, 2018",Inter,Santos FC,€12.00m,Loan fee:€1.70m,Gabriel Barbosa
17/18,"Jan 24, 2018",Benfica,Inter,€12.00m,End of loan,Gabriel Barbosa
17/18,"Aug 31, 2017",Inter,Benfica,€15.00m,Loan fee:€1.70m,Gabriel Barbosa
16/17,"Aug 30, 2016",Santos FC,Inter,€20.00m,€29.50m,Gabriel Barbosa
12/13,"Jan 1, 2013",Santos FC U20,Santos FC,-,-,Gabriel Barbosa
18/19,"Jul 11, 2018",Racing Club,Udinese Calcio,€1.00m,€4.00m,Juan Musso
12/13,"Jul 1, 2012",Racing Club U20,Racing Club,-,-,Juan Musso
19/20,"Jul 1, 2019",Udinese Calcio,SSC Napoli,€25.00m,€26.00m,Alex Meret
18/19,"Jun 30, 2019",SSC Napoli,Udinese Calcio,€25.00m,End of loan,Alex Meret
18/19,"Jul 5, 2018",Udinese Calcio,SSC Napoli,€12.00m,loan transfer,Alex Meret
17/18,"Jun 30, 2018",SPAL,Udinese Calcio,€12.00m,End of loan,Alex Meret
16/17,"Jul 14, 2016",Udinese Calcio,SPAL,€600Th.,loan transfer,Alex Meret
14/15,"Jul 1, 2014",Udinese U19,Udinese Calcio,€250Th.,-,Alex Meret
13/14,"Jul 1, 2013",Udinese U17,Udinese U19,-,-,Alex Meret
17/18,"Jul 24, 2017",Sint-Truiden,Getafe,€800Th.,€2.50m,Djené
16/17,"Jul 1, 2016",Alcorcón,Sint-Truiden,€500Th.,?,Djené
14/15,"Oct 25, 2014",Cotonsport,Alcorcón,€200Th.,?,Djené
11/12,"Jul 1, 2011",Tonnerre,Cotonsport,-,?,Djené
09/10,"Jul 1, 2009",Etoile Filante,Tonnerre,-,?,Djené
19/20,"Jul 1, 2019",FC Barcelona,Everton,€28.00m,€25.00m,André Gomes
18/19,"Jun 30, 2019",Everton,FC Barcelona,€28.00m,End of loan,André Gomes
18/19,"Aug 9, 2018",FC Barcelona,Everton,€15.00m,Loan fee:€2.25m,André Gomes
16/17,"Jul 21, 2016",Valencia,FC Barcelona,€30.00m,€37.00m,André Gomes
15/16,"Jul 1, 2015",Benfica,Valencia,€20.00m,€20.00m,André Gomes
14/15,"Jun 30, 2015",Valencia,Benfica,€15.00m,End of loan,André Gomes
14/15,"Jul 17, 2014",Benfica,Valencia,€5.00m,loan transfer,André Gomes
12/13,"Jul 1, 2012",Benfica U19,Benfica,-,-,André Gomes
11/12,"Jul 1, 2011",Boavista U19,Benfica U19,-,free transfer,André Gomes
09/10,"Jan 1, 2010",Boavista U17,Boavista U19,-,-,André Gomes
08/09,"Jul 1, 2008",FC Porto U15,Boavista U17,-,?,André Gomes
06/07,"Jul 1, 2006",FC Porto Youth,FC Porto U15,-,-,André Gomes
19/20,"Aug 5, 2019",Brentford,Brighton,€12.00m,€22.22m,Neal Maupay
17/18,"Jul 14, 2017",Saint-Étienne,Brentford,€2.00m,€2.00m,Neal Maupay
16/17,"Jun 30, 2017",Stade Brest 29,Saint-Étienne,€2.00m,End of loan,Neal Maupay
16/17,"Jul 20, 2016",Saint-Étienne,Stade Brest 29,€1.50m,loan transfer,Neal Maupay
15/16,"Aug 10, 2015",OGC Nice,Saint-Étienne,€2.00m,€600Th.,Neal Maupay
12/13,"Jan 11, 2013",Nizza U19,OGC Nice,-,-,Neal Maupay
19/20,"Jul 1, 2019",Athletic,Real Sociedad,€1.50m,free transfer,Álex Remiro
17/18,"Jun 30, 2018",SD Huesca,Athletic,€1.50m,End of loan,Álex Remiro
17/18,"Jul 21, 2017",Athletic,SD Huesca,€600Th.,loan transfer,Álex Remiro
16/17,"Jan 30, 2017",Levante,Athletic,€800Th.,End of loan,Álex Remiro
16/17,"Jul 2, 2016",Athletic,Levante,€1.00m,loan transfer,Álex Remiro
16/17,"Jul 1, 2016",Bilbao Athletic,Athletic,€1.00m,-,Álex Remiro
14/15,"Jul 1, 2014",CD Basconia,Bilbao Athletic,€200Th.,-,Álex Remiro
13/14,"Jul 1, 2013",Bilbao U19,CD Basconia,-,-,Álex Remiro
16/17,"Jun 30, 2017",PSV Eindhoven,Man City,€4.50m,End of loan,Oleksandr Zinchenko
16/17,"Aug 26, 2016",Man City,PSV Eindhoven,€4.00m,loan transfer,Oleksandr Zinchenko
16/17,"Jul 4, 2016",Ufa,Man City,€4.00m,€2.00m,Oleksandr Zinchenko
14/15,"Feb 13, 2015",Career break,Ufa,-,-,Oleksandr Zinchenko
14/15,"Jul 1, 2014",Shakhtar U19,Career break,-,-,Oleksandr Zinchenko
12/13,"Jul 1, 2012",Shakhtar U17,Shakhtar U19,-,-,Oleksandr Zinchenko
20/21,"Oct 5, 2020",Chelsea,Fulham,€24.00m,loan transfer,Ruben Loftus-Cheek
17/18,"May 31, 2018",Crystal Palace,Chelsea,€15.00m,End of loan,Ruben Loftus-Cheek
17/18,"Jul 12, 2017",Chelsea,Crystal Palace,€5.00m,loan transfer,Ruben Loftus-Cheek
14/15,"Jan 1, 2015",Chelsea U21,Chelsea,€150Th.,-,Ruben Loftus-Cheek
14/15,"Jul 1, 2014",Chelsea U18,Chelsea U21,€150Th.,-,Ruben Loftus-Cheek
12/13,"Jul 1, 2012",Chelsea Youth,Chelsea U18,-,-,Ruben Loftus-Cheek
17/18,"Jul 24, 2017",Fiorentina,Juventus,€30.00m,€40.00m,Federico Bernardeschi
13/14,"Jun 30, 2014",Crotone,Fiorentina,€1.20m,End of loan,Federico Bernardeschi
13/14,"Sep 2, 2013",Fiorentina,Crotone,€200Th.,loan transfer,Federico Bernardeschi
13/14,"Jul 1, 2013",Fiorentina U19,Fiorentina,€200Th.,-,Federico Bernardeschi
11/12,"Jul 1, 2011",Fiorentina U17,Fiorentina U19,-,-,Federico Bernardeschi
09/10,"Jul 1, 2009",Fiorentina Yth.,Fiorentina U17,-,-,Federico Bernardeschi
19/20,"Jan 1, 2020",Bor. Dortmund,Benfica,€23.00m,€20.00m,Julian Weigl
15/16,"Jul 1, 2015",1860 Munich,Bor. Dortmund,€2.00m,€2.50m,Julian Weigl
